発表日時,種別,名称,エリア(市区町村)
2020-09-18T22:12:00+09:00,注意報,大雨注意報,稚内市
2020-09-18T22:12:00+09:00,注意報,大雨注意報,稚内市
2020-09-18T22:12:00+09:00,注意報,大雨注意報,稚内市
2020-09-18T22:12:00+09:00,注意報,雷注意報,猿払村
2020-09-18T22:12:00+09:00,注意報,雷注意報,猿払村
2020-09-18T22:12:00+09:00,注意報,雷注意報,浜頓別町
2020-09-18T22:12:00+09:00,注意報,雷注意報,浜頓別町
2020-09-18T22:12:00+09:00,注意報,雷注意報,中頓別町
2020-09-18T22:12:00+09:00,注意報,雷注意報,中頓別町
2020-09-18T22:12:00+09:00,注意報,雷注意報,枝幸町
2020-09-18T22:12:00+09:00,注意報,雷注意報,枝幸町
2020-09-18T22:12:00+09:00,注意報,雷注意報,豊富町
2020-09-18T22:12:00+09:00,注意報,雷注意報,豊富町
2020-09-18T22:12:00+09:00,注意報,大雨注意報,礼文町
2020-09-18T22:12:00+09:00,注意報,大雨注意報,礼文町
2020-09-18T22:12:00+09:00,注意報,大雨注意報,礼文町
2020-09-18T22:12:00+09:00,注意報,雷注意報,利尻町
2020-09-18T22:12:00+09:00,注意報,雷注意報,利尻町
2020-09-18T22:12:00+09:00,注意報,大雨注意報,利尻富士町
2020-09-18T22:12:00+09:00,注意報,大雨注意報,利尻富士町
2020-09-18T22:12:00+09:00,注意報,大雨注意報,利尻富士町
2020-09-18T22:12:00+09:00,注意報,雷注意報,幌延町
2020-09-18T22:12:00+09:00,注意報,雷注意報,幌延町
2020-09-18T22:03:00+09:00,注意報,大雨注意報,秋田市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,秋田市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,秋田市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,能代市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,能代市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,能代市
2020-09-18T22:03:00+09:00,注意報,濃霧注意報,横手市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,大館市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,大館市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,男鹿市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,男鹿市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,男鹿市
2020-09-18T22:03:00+09:00,注意報,濃霧注意報,湯沢市
2020-09-18T22:03:00+09:00,警報,大雨警報,由利本荘市
2020-09-18T22:03:00+09:00,警報,大雨警報,由利本荘市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,潟上市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,潟上市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,大仙市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,大仙市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,北秋田市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,北秋田市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,にかほ市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,にかほ市
2020-09-18T22:03:00+09:00,注意報,濃霧注意報,仙北市
2020-09-18T22:03:00+09:00,注意報,大雨注意報,小坂町
2020-09-18T22:03:00+09:00,注意報,大雨注意報,小坂町
2020-09-18T22:03:00+09:00,注意報,大雨注意報,上小阿仁村
2020-09-18T22:03:00+09:00,注意報,大雨注意報,上小阿仁村
2020-09-18T22:03:00+09:00,注意報,大雨注意報,藤里町
2020-09-18T22:03:00+09:00,注意報,大雨注意報,藤里町
2020-09-18T22:03:00+09:00,注意報,大雨注意報,三種町
2020-09-18T22:03:00+09:00,注意報,大雨注意報,三種町
2020-09-18T22:03:00+09:00,注意報,大雨注意報,三種町
2020-09-18T22:03:00+09:00,警報,大雨警報,八峰町
2020-09-18T22:03:00+09:00,警報,大雨警報,八峰町
2020-09-18T22:03:00+09:00,注意報,大雨注意報,五城目町
2020-09-18T22:03:00+09:00,注意報,大雨注意報,五城目町
2020-09-18T22:03:00+09:00,注意報,大雨注意報,八郎潟町
2020-09-18T22:03:00+09:00,注意報,大雨注意報,八郎潟町
2020-09-18T22:03:00+09:00,注意報,大雨注意報,井川町
2020-09-18T22:03:00+09:00,注意報,大雨注意報,井川町
2020-09-18T22:03:00+09:00,注意報,大雨注意報,大潟村
2020-09-18T22:03:00+09:00,注意報,大雨注意報,大潟村
2020-09-18T22:03:00+09:00,注意報,大雨注意報,大潟村
2020-09-18T22:03:00+09:00,注意報,濃霧注意報,美郷町
2020-09-18T22:03:00+09:00,注意報,濃霧注意報,羽後町
2020-09-18T22:03:00+09:00,注意報,濃霧注意報,東成瀬村
2020-09-18T21:43:00+09:00,注意報,濃霧注意報,室蘭市
2020-09-18T21:43:00+09:00,注意報,大雨注意報,豊浦町
2020-09-18T21:43:00+09:00,注意報,大雨注意報,豊浦町
2020-09-18T21:43:00+09:00,注意報,大雨注意報,日高町門別
2020-09-18T21:43:00+09:00,注意報,大雨注意報,日高町門別
2020-09-18T21:43:00+09:00,注意報,大雨注意報,平取町
2020-09-18T21:43:00+09:00,注意報,大雨注意報,平取町
2020-09-18T21:43:00+09:00,注意報,大雨注意報,新冠町
2020-09-18T21:43:00+09:00,注意報,大雨注意報,新冠町
2020-09-18T21:43:00+09:00,注意報,濃霧注意報,浦河町
2020-09-18T21:43:00+09:00,注意報,濃霧注意報,様似町
2020-09-18T21:43:00+09:00,注意報,濃霧注意報,えりも町
