種別,提供元,タイトル,リンク,発行日時,サマリ,エリア(都道府県)
,北海道新聞,核ごみ候補地「数十に」　鈴木・北海道知事、梶山経産相に要望(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200918-00010000-doshin-hok&source=rss,2020-09-17T21:11:45.000Z,　鈴木直道知事が、原発から出る高レベル放射性廃棄物（核のごみ）の最終処分場選定を巡る4日の梶山弘志経済産業相との会談で、国が事前に本格調査を行うべき候補地を数十程度の市町村に絞り込むべきだと要望したこ,北海道
,北海道新聞,絶滅危惧種アカウミガメ、サケ定置網に　道東・白糠、体長70センチ　漁師ら体磨き、海に放つ(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200917-00010002-doshin-hok&source=rss,2020-09-17T07:02:37.000Z,　【白糠】白糠恋問沖約2キロの秋サケ定置網に、環境省の絶滅危惧種に指定されているアカウミガメが掛かった。漁業者の間ではカメは長寿という理由から縁起物とされてきた。不漁が続く中、漁師たちは漁獲量の回復を,北海道
,北海道新聞,セコマ顧客満足度　5年連続1位　全国コンビニ部門　品質・コスパ評価(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200917-00010001-doshin-hok&source=rss,2020-09-17T01:10:31.000Z,　産学官で組織するサービス産業生産性協議会（東京）が16日発表した2020年度の顧客満足度調査のコンビニエンスストア部門で、セコマ（札幌）が運営する「セイコーマート」が5年連続首位となった。同協議会は,北海道
,北海道新聞,秘密裏の準備、反発広がる　核ごみ請願、継続審議　北海道・神恵内(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200917-00010000-doshin-hok&source=rss,2020-09-16T21:04:56.000Z,　【神恵内】原発から出る高レベル放射性廃棄物（核のごみ）の最終処分場選定に向けた文献調査について、後志管内神恵内村に応募検討を求める村商工会（上田道博会長）の請願について村議会が16日、定例村議会中の,北海道
,北海道新聞,割増率60％の商品券、複数が100万円超購入　一時上限撤廃、全町民に周知せず　北海道・長沼(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200916-00010003-doshin-hok&source=rss,2020-09-16T07:35:36.000Z,　【長沼】新型コロナウイルスの経済対策で町などが発行した割増率60％のプレミアム商品券を巡り、発売後に1世帯当たりの購入上限を一時撤廃し、複数人に1人当たり100万円以上の大量販売をしていたことが15,北海道
,北海道新聞,道産ソバ在庫、過去最大に　コロナ禍で需要激減　きたそらち農協は買い手探しに奔走(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200916-00010002-doshin-hok&source=rss,2020-09-16T02:09:19.000Z,　【深川、幌加内】新ソバの収穫期を迎える中、取扱量全国一のきたそらち農協（本所・深川市）で殻付きソバの実（玄ソバ）の在庫が過去最大規模に膨れ上がっている。コロナ禍の影響で取引先である首都圏のそば店が相,北海道
,北海道新聞,オスプレイ、また千歳に着陸　事前通告なし、8月以来(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200916-00010001-doshin-hok&source=rss,2020-09-16T00:58:46.000Z,　【千歳】15日午後6時40分ごろ、米空軍の輸送機「オスプレイ」1機が千歳市の航空自衛隊千歳基地に着陸し、約50分後に離陸した。米軍から道や千歳市に対し、北海道防衛局を通じた事前通告はなかった。同局は,北海道
,北海道新聞,「処分場で人と雇用を」　神恵内、16日核ごみ審議　人口減に危機感「村なくなる」(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200916-00010000-doshin-hok&source=rss,2020-09-15T21:12:16.000Z,　【神恵内】原発から出る高レベル放射性廃棄物（核のごみ）の最終処分場選定に向けた文献調査について、商工会が村に対して応募検討を求める動きが表面化した後志管内神恵内村。同管内寿都町では町長自らが旗振り役,北海道
,北海道新聞,北海道・日高の名馬、カードに　G1など制した30頭　町内の温泉など利用者に無料配布(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200915-00010002-doshin-hok&source=rss,2020-09-15T08:02:16.000Z,　【日高】日高管内日高町や日高町商工会などでつくる日高町地場産品推進協議会は、町内産の競走馬で国内のG1レースを制した30頭の雄姿をあしらったオリジナルカードを作成した。15日から町内の飲食店と温泉施,北海道
,北海道新聞,道知事の「後ろ盾」、首相就任へ　国政とのパイプより太く　核ごみ問題…道政への影響に懸念も(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200915-00010001-doshin-hok&source=rss,2020-09-15T02:20:58.000Z,　新首相就任が確実となった菅義偉官房長官は、鈴木直道知事の「後ろ盾」となってきた人物でもある。菅氏は夕張市の財政破綻時の総務相で、知事は前任の夕張市長時代に財政再建などで相談を重ねたほか、知事選でも強,北海道
,北海道新聞,核ごみ応募　住民投票せず　寿都町長　議会で表明(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200915-00010000-doshin-hok&source=rss,2020-09-14T22:06:09.000Z,　【寿都】原発から出る高レベル放射性廃棄物（核のごみ）の処分場選定に向けた文献調査応募を検討する後志管内寿都町の片岡春雄町長は14日の定例町議会一般質問で「産業団体とも改めて協議をしながら、議会の中で,北海道
,北海道新聞,＜弁護士に聞く＞コロナ禍で広がるテレワーク　労働者・会社の双方が気をつけるポイントは？(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200914-00010001-doshin-life&source=rss,2020-09-14T08:10:51.000Z,　新型コロナウイルスの影響でテレワークをする人が増えています。国も企業に対し社員のテレワーク拡大を呼びかけていますが、必要な備品類の準備や在宅でかかる経費など、分からないこともたくさんあります。テレワ,北海道
,北海道新聞,年金減額、消費増税、非正規雇用増…　生活弱者、一層苦しく　安倍政権7年8カ月(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200914-00010000-doshin-hok&source=rss,2020-09-13T21:05:33.000Z,　公的年金の減額や消費税増税、非正規雇用の急増―。2012年12月に誕生し、歴代最長となった第2次安倍政権の政策は、道民の暮らしにどう影響したのか。高齢になっても働かざるを得ない年金受給者や、正社員に,北海道
,北海道新聞,メェ～ずらしい三つ子ヤギ　旭川の牧場　獣医も「初めて」(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200913-00010004-doshin-hok&source=rss,2020-09-13T03:06:38.000Z,　旭川市東鷹栖の桝沢良和さん（66）の牧場で三つ子のヤギが生まれた。ヤギの出産は1回に1～2匹が多く、3匹生まれるのは珍しいという。赤ちゃんは雄1匹、雌2匹で、愛くるしい姿を見せている。　母親のヤ,北海道
,北海道新聞,牛の顔みたい？ 変わり種ジャガイモ　酪農の町・北海道別海の吉田さん収穫(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200913-00010003-doshin-hok&source=rss,2020-09-13T03:04:19.000Z,　【別海】町内の家庭菜園で育てたジャガイモを掘ったところ、牛の顔に似たイモが出てきて、近所の話題になっている。　別海川上町に住む吉田勲さん（77）が、近所の菜園でレッドムーンという品種のイモを3日,北海道
,北海道新聞,テニス大坂選手が全米制覇　根室の祖父「本当にうれしい。びっくり」(北海道新聞),https://headlines.yahoo.co.jp/hl?a=20200913-00010002-doshin-hok&source=rss,2020-09-13T02:13:40.000Z,　【根室】テニスの全米オープン女子シングルスで2年ぶりに優勝した大坂なおみ選手の祖父で、根室漁協組合長の大坂鉄夫さん（75）は13日、四大大会で3度目の頂点に立った孫の快挙に「本当にうれしい。びっくり,北海道
